"dataset","dataset_label","method","display_label","family","backend","profile","timing_interface","timing_scope","runtime_measure","n_runs","runtime","runtime_q1","runtime_q3"
"imagenet","ImageNet","uwot_fast_sgd","uwot fast SGD [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1820.145,1779.242,1830.4855
"imagenet","ImageNet","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,532.663,520.425,551.204
"imagenet","ImageNet","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,511.79,510.702,513.7735
"imagenet","ImageNet","rapids_cuml_umap_full","RAPIDS cuML UMAP via R (total call) [CUDA]","UMAP","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,326.833,326.189,327.8085
"imagenet","ImageNet","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct (fit only) [CUDA]","UMAP","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,314.316558673978,313.249233205803,315.027831885032
"MNIST","MNIST","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,61.463,61.3465,61.5405
"MNIST","MNIST","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,29.294,29.293,29.379
"MNIST","MNIST","python_umap_learn","Python umap-learn via R (total call) [CPU]","UMAP","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,83.356,83.1485,84.211
"MNIST","MNIST","python_umap_learn_direct","Python umap-learn direct (fit only) [CPU]","UMAP","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,81.752477925038,81.6330028244993,82.3135749894427
"MNIST","MNIST","umap_package","umap [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,938.783,922.178,942.2865
"MNIST","MNIST","uwot_default","uwot default [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,68.042,67.8455,68.103
"MNIST","MNIST","uwot_fast_sgd","uwot fast SGD [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,48.807,48.7955,49.1445
"MNIST","MNIST","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,1.059,1.0555,1.0625
"MNIST","MNIST","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.973,0.96,0.9855
