"dataset","dataset_label","method","display_label","family","backend","profile","timing_interface","timing_scope","runtime_measure","n_runs","runtime","runtime_q1","runtime_q3"
"FlowRepository_FR-FCM-ZYRM_files","FlowRepository","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only) [CUDA]","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,779.210353499278,766.009776502847,779.909238719381
"imagenet","ImageNet","KlugerLab_FItSNE","FIt-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1986.943,1986.072,1989.382
"imagenet","ImageNet","Rtsne_full","Rtsne [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,13820.252,13778.178,13848.4835
"imagenet","ImageNet","fastEmbedR_tsne_cpu_full","fastEmbedR t-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,490.45,488.4115,490.4845
"imagenet","ImageNet","fastEmbedR_tsne_cuda_full","fastEmbedR t-SNE [CUDA]","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,518.552,506.6345,522.825
"imagenet","ImageNet","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only) [CUDA]","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,166.472339186817,163.755921480245,168.255837560166
"MNIST","MNIST","KlugerLab_FItSNE","FIt-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,88.693,88.295,88.7705
"MNIST","MNIST","Rtsne_full","Rtsne [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,93.812,93.7865,94.4715
"MNIST","MNIST","fastEmbedR_tsne_cpu_full","fastEmbedR t-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,43.287,43.0625,43.65
"MNIST","MNIST","python_opentsne_fft","Python openTSNE via R (total call) [CPU]","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,156.313,156.0345,157.226
"MNIST","MNIST","python_opentsne_fft_direct","Python openTSNE direct (fit only) [CPU]","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,149.059720859863,147.878489239957,150.988541688421
"MNIST","MNIST","fastEmbedR_tsne_cuda_full","fastEmbedR t-SNE [CUDA]","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,1.911,1.899,1.9465
"MNIST","MNIST","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R (total call) [CUDA]","t-SNE","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,6.433,6.4245,6.4445
"MNIST","MNIST","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only) [CUDA]","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,2.71646160166711,2.71112602716312,2.72078189998865
"MetRef","MetRef","KlugerLab_FItSNE","FIt-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,4.496,4.2495,4.56
"MetRef","MetRef","Rtsne_full","Rtsne [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1.009,1.007,1.0615
"MetRef","MetRef","fastEmbedR_tsne_cpu_full","fastEmbedR t-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1.733,1.6785,1.74
"MetRef","MetRef","python_opentsne_fft","Python openTSNE via R (total call) [CPU]","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,18.305,18.0775,22.2015
"MetRef","MetRef","python_opentsne_fft_direct","Python openTSNE direct (fit only) [CPU]","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,15.593038574094,14.6339892125688,15.6910352250562
"MetRef","MetRef","fastEmbedR_tsne_cuda_full","fastEmbedR t-SNE [CUDA]","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.7,0.686,0.723
"MetRef","MetRef","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R (total call) [CUDA]","t-SNE","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,5.048,5.0205,5.051
"MetRef","MetRef","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only) [CUDA]","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,1.59085529483855,1.58753224462271,1.59197025280446
"Macosko2015_retina","Retina","KlugerLab_FItSNE","FIt-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,21.806,21.8025,21.8395
"Macosko2015_retina","Retina","Rtsne_full","Rtsne [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,34.887,34.6195,35.0625
"Macosko2015_retina","Retina","fastEmbedR_tsne_cpu_full","fastEmbedR t-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,11.695,11.3525,11.727
"Macosko2015_retina","Retina","python_opentsne_fft","Python openTSNE via R (total call) [CPU]","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,75.343,72.79,78.1375
"Macosko2015_retina","Retina","python_opentsne_fft_direct","Python openTSNE direct (fit only) [CPU]","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,65.9533350327983,64.160100797424,67.6423673573881
"Macosko2015_retina","Retina","fastEmbedR_tsne_cuda_full","fastEmbedR t-SNE [CUDA]","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.905,0.8935,0.95
"Macosko2015_retina","Retina","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R (total call) [CUDA]","t-SNE","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,5.668,5.66,6.019
"Macosko2015_retina","Retina","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only) [CUDA]","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,2.26436308585107,2.26005031121895,2.26533065084368
"TabulaMuris","Tabula Muris","KlugerLab_FItSNE","FIt-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,45.899,45.8675,47.568
"TabulaMuris","Tabula Muris","Rtsne_full","Rtsne [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,77.824,77.1905,78.406
"TabulaMuris","Tabula Muris","fastEmbedR_tsne_cpu_full","fastEmbedR t-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,30.216,30.039,30.4805
"TabulaMuris","Tabula Muris","python_opentsne_fft","Python openTSNE via R (total call) [CPU]","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,94.445,92.86,97.795
"TabulaMuris","Tabula Muris","python_opentsne_fft_direct","Python openTSNE direct (fit only) [CPU]","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,87.8777839019895,87.6628818300087,89.9889848229941
"TabulaMuris","Tabula Muris","fastEmbedR_tsne_cuda_full","fastEmbedR t-SNE [CUDA]","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,3.053,3.047,3.1055
"TabulaMuris","Tabula Muris","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R (total call) [CUDA]","t-SNE","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,6.195,6.19,6.214
"TabulaMuris","Tabula Muris","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only) [CUDA]","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,2.69658135436475,2.67737882537767,2.72798268869519
"USPS","USPS","KlugerLab_FItSNE","FIt-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,14.741,14.6635,15.247
"USPS","USPS","Rtsne_full","Rtsne [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,8.886,8.722,8.9625
"USPS","USPS","fastEmbedR_tsne_cpu_full","fastEmbedR t-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,7.316,7.237,7.3235
"USPS","USPS","python_opentsne_fft","Python openTSNE via R (total call) [CPU]","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",2,47.8005,47.11975,48.48125
"USPS","USPS","python_opentsne_fft_direct","Python openTSNE direct (fit only) [CPU]","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,44.5203884639777,43.9677056154469,44.5263945724582
"USPS","USPS","fastEmbedR_tsne_cuda_full","fastEmbedR t-SNE [CUDA]","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.73,0.725,0.767
"USPS","USPS","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R (total call) [CUDA]","t-SNE","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,5.358,5.3545,5.3605
"USPS","USPS","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only) [CUDA]","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,1.94197330996394,1.94036589935422,1.95025413343683
"flow18","flow18","KlugerLab_FItSNE","FIt-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,397.095,388.8085,397.199
"flow18","flow18","Rtsne_full","Rtsne [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1584.667,1544.2785,1613.29
"flow18","flow18","fastEmbedR_tsne_cpu_full","fastEmbedR t-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,178.629,177.8185,178.9035
"flow18","flow18","python_opentsne_fft","Python openTSNE via R (total call) [CPU]","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,622.765,594.62,640.053
"flow18","flow18","python_opentsne_fft_direct","Python openTSNE direct (fit only) [CPU]","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,610.252521623857,604.671843291027,618.028243823908
"flow18","flow18","fastEmbedR_tsne_cuda_full","fastEmbedR t-SNE [CUDA]","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,5.389,5.3865,5.4735
"flow18","flow18","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only) [CUDA]","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,34.3854468232021,34.3428668333218,34.3892163131386
"mass41","mass41","KlugerLab_FItSNE","FIt-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,330.166,329.9535,331.3715
"mass41","mass41","Rtsne_full","Rtsne [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1604.383,1568.18,1692.575
"mass41","mass41","fastEmbedR_tsne_cpu_full","fastEmbedR t-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,165.397,163.815,165.994
"mass41","mass41","python_opentsne_fft","Python openTSNE via R (total call) [CPU]","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,576.581,533.587,605.0825
"mass41","mass41","python_opentsne_fft_direct","Python openTSNE direct (fit only) [CPU]","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,572.086173487362,555.876685773022,588.16974529135
"mass41","mass41","fastEmbedR_tsne_cuda_full","fastEmbedR t-SNE [CUDA]","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,5.685,5.683,5.746
"mass41","mass41","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only) [CUDA]","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,33.2783109210432,33.1297873556614,33.3134305784479
