"family","profile","matched_datasets","landmark_fraction_median","speedup_median","speedup_q1","speedup_q3","speedup_min","speedup_max","trustworthiness_delta_median","preservation30_delta_median"
"UMAP","cpu4",11,0.200000468323021,4.05658587860043,2.90796970113468,4.4396469802613,1.06666666666667,5.34673207786042,-0.00126827383148098,-0.00986666666666702
"t-SNE","cpu4",11,0.200000468323021,1.69328201748319,1.56760503357938,1.88262423653445,1.11078286558346,2.28375451263538,-7.45911313430048e-05,-0.01005
"UMAP","cuda",11,0.200000468323021,0.779816513761468,0.641187043457571,0.991092228095634,0.333149779735683,5.08855534709193,0.000654476479513999,-0.00116713352007503
"t-SNE","cuda",11,0.200000468323021,0.947821681864235,0.848277403422413,1.70746711068011,0.792328042328042,3.01409431584533,-0.00207177541729908,-0.00990000000000002
